Roll No	Name of Student	Telugu	English	Maths	Science	Social	Total_Marks
101	Sundeep	90	85	80	83	75	413
102	Saradhi	50	60	75	54	64	303
103	Ramesh	95	78	68	58	78	377
104	Suresh	55	87	68	64	59	333
105	Sathwik	88	86	92	73	81	420
106	Abhiram	73	84	91	88	84	420
107	Srinidhi	90	83	74	86	94	427
108	Lakshmi	75	79	85	64	53	356
109	Dinesh	84	85	76	94	54	393
110	Harish	83	95	87	63	79	407
111	Murali	84	86	92	75	35	372
112	Vasu	50	54	64	87	45	300
113	Kali	89	97	69	73	82	410
114	Ramu	25	45	60	35	48	213
115	Krishna	15	25	65	50	55	210
116	Hari	78	89	95	67	58	387
117	Pavan	59	51	65	68	70	313
118	Ashok	85	86	98	87	44	400
119	Govind	89	97	95	66	75	422
120	Bhargav	75	78	86	64	72	375
